Date,Close,High,Low,Open,Volume,delta_next_close_pct,delta_next_high_pct,delta_next_low_pct,delta_next_open_pct,delta_next_volume_pct,delta_next_close_ge_1pct,delta_next_high_ge_1pct,delta_next_low_ge_1pct,delta_next_open_ge_1pct,delta_next_volume_ge_1pct,close_above_1d,close_below_1d,close_above_3d,close_below_3d,close_above_5d,close_below_5d,close_above_10d,close_below_10d
2012-01-09,100.56306457519533,100.68873965406924,100.08389312758985,100.54735069551924,99530200,0.00867043340104175,0.011468166393518053,0.012086818686590114,0.010859278725052414,0.15826151258612964,False,True,True,True,True,True,False,True,False,True,False,True,False
2012-01-10,101.43498992919922,101.84345487437572,101.29358899727109,101.63922240178748,115282000,0.0005419213590500152,-0.002159757564754823,-0.0033346752325648897,-0.0051009921389967156,-0.03245346194549019,False,False,False,False,True,True,False,False,True,True,False,True,False
2012-01-11,101.48995971679688,101.62349770229002,100.95580777482428,101.12076152730222,111540700,0.002399625573915023,0.002551101118579549,0.0001557953326378161,0.006525640476775095,0.0667290056454729,False,False,False,False,True,True,False,True,False,True,False,True,False
2012-01-12,101.7334976196289,101.8827495209523,100.97153621847828,101.7806392617671,118983700,-0.005173456079393971,-0.005011642540469727,-0.006379399936106309,-0.0071777722967202836,0.5114356000023532,False,False,False,False,True,False,True,True,False,True,False,True,False
2012-01-13,101.20718383789062,101.37214959931308,100.32739840677756,101.05008100893151,179836200,0.003880915112576843,0.009841313140662456,0.009239036135769105,0.011194182485253742,-0.2648354446991206,False,False,False,True,True,True,False,True,False,True,False,True,False
2012-01-17,101.59996032714844,102.369784667262,101.25432686606548,102.18125405589517,132209200,0.01105609334297507,0.003989994747434007,0.001396394470421947,-0.005919564730160472,0.23588373577633023,True,False,False,False,True,True,False,True,False,True,False,True,False
2012-01-18,102.72325897216795,102.77823957038032,101.39571784820755,101.57638550830232,163395200,0.005276681924724201,0.005579641605725111,0.013325304661867335,0.014770960646167171,-0.22685060515853586,False,False,True,True,True,True,False,True,False,True,False,True,False
2012-01-19,103.26529693603516,103.3517053120504,102.74684667994366,103.07676630122536,126328900,0.0037270997841256596,0.0028879222553856165,0.0009171991058931329,0.0001522537622157952,0.0942088469067648,False,False,False,False,True,True,False,False,False,True,False,True,False
2012-01-20,103.65017700195312,103.65017700195312,102.84108599585184,103.09246012669176,138230200,-0.00257647120826732,0.0022738475113383964,0.00045851192335898144,0.0020574516051470658,-0.06463421162669229,False,False,False,False,True,False,True,True,False,False,True,True,False
2012-01-23,103.38312530517578,103.8858616989788,102.88823985999213,103.30456787425798,129295800,-0.0011397253545277185,-0.005671118032141492,-0.0029011678079616282,-0.005398804774956147,-0.20273280338572483,False,False,False,False,True,False,True,True,False,False,True,True,False
2012-01-24,103.26529693603516,103.29671271541316,102.58974381069248,102.74684667994366,103083300,0.008367227084897004,0.010417946152833812,0.0011482331775356013,0.003516488323822663,0.9267252794584574,False,True,False,False,True,True,False,True,False,False,True,True,False
2012-01-25,104.12934112548828,104.37285230624708,102.7075407582108,103.10815476660328,198613200,-0.005129743389739531,0.003988805848433409,0.004665350202272464,0.014398852008277388,-0.06914293712603191,False,False,False,True,True,False,True,False,True,False,True,True,False
2012-01-26,103.59518432617188,104.78917534994392,103.18670740426202,104.59279382793416,184880500,-0.00045476545591286414,-0.010119698486967713,-0.0015985364052664129,-0.014344464922349743,-0.26839715383720836,False,True,False,True,True,False,True,False,True,True,False,True,False
