Date,Close,High,Low,Open,Volume
2012-01-09,100.56306457519531,100.68873965406925,100.08389312758985,100.54735069551923,99530200
2012-01-10,101.43498992919922,101.84345487437572,101.29358899727107,101.63922240178748,115282000
2012-01-11,101.48995971679688,101.62349770229002,100.95580777482428,101.12076152730222,111540700
2012-01-12,101.7334976196289,101.8827495209523,100.97153621847829,101.7806392617671,118983700
2012-01-13,101.20718383789062,101.37214959931309,100.32739840677756,101.05008100893151,179836200
2012-01-17,101.59996032714844,102.369784667262,101.25432686606547,102.18125405589517,132209200
2012-01-18,102.72325897216797,102.77823957038031,101.39571784820755,101.57638550830232,163395200
2012-01-19,103.26529693603516,103.35170531205041,102.74684667994366,103.07676630122536,126328900
2012-01-20,103.65017700195312,103.65017700195312,102.84108599585183,103.09246012669175,138230200
2012-01-23,103.38312530517578,103.8858616989788,102.88823985999211,103.30456787425798,129295800
2012-01-24,103.26529693603516,103.29671271541316,102.58974381069247,102.74684667994366,103083300
2012-01-25,104.12934112548828,104.37285230624708,102.7075407582108,103.10815476660328,198613200
2012-01-26,103.59518432617188,104.78917534994393,103.18670740426202,104.59279382793416,184880500
2012-01-27,103.5480728149414,103.7287404907045,103.02175969593674,103.0924661657388,135259100
2012-01-30,103.1945571899414,103.2495497688508,102.16551994396758,102.5190042823757,147311800
2012-01-31,103.15530395507812,103.83084496474562,102.65255569195725,103.7051698851437,157212000
2012-02-01,104.05864715576172,104.58494822328515,103.79157114887116,103.91724621988128,166234500
2012-02-02,104.22358703613281,104.49067499359475,103.85440083239969,104.2628657345398,113090400
2012-02-03,105.68470764160156,105.74755118662706,105.07986099481981,105.26052869540523,160598500
2012-02-06,105.61399841308594,105.66112806873441,105.12697598981308,105.24480012893426,107694500
2012-02-07,105.8810806274414,106.06176029953626,104.97773021168577,105.3940581757658,135528100
2012-02-08,106.19530487060547,106.21886970125601,105.50403787504196,105.93607974726916,139361400
2012-02-09,106.32881927490234,106.50948693179677,105.70039596280004,106.36809797931706,148602900
2012-02-10,105.54328155517578,105.62968990093967,105.13480464918497,105.3861787409259,167907500
2012-02-13,106.32881927490234,106.45450633455835,105.84179690145747,106.2974035030772,115841900
2012-02-14,106.19530487060547,106.25814841440037,105.45690821374089,106.04605295236513,165329500
2012-02-15,105.70040130615234,106.69802291506473,105.48830588053323,106.54092007564174,195195100
2012-02-16,106.87084197998047,106.96510128846748,105.5197359561665,105.70826655931913,186567800
2012-02-17,107.15363311767578,107.32644984266508,106.80014872062631,107.24004148017043,129869400
2012-02-21,107.20077514648438,107.656381838939,106.87085553874417,107.4050076695102,134042300
2012-02-22,106.85514831542969,107.26362537311621,106.66661767660955,107.0358160196026,124455300
2012-02-23,107.3264389038086,107.40498432504818,106.43879054194106,106.80013783541115,137704300
2012-02-24,107.56206512451172,107.77416049215776,107.32641692287729,107.56206512451172,105539100
2012-02-27,107.74274444580078,108.0333852178405,106.67442865187434,106.84724532340472,145728900
2012-02-28,108.05699157714844,108.18267865679164,107.5621061924156,107.77420164104105,129355900
2012-02-29,107.63279724121094,108.55186140530387,107.25573605631801,108.21407892544286,185934700
2012-03-01,108.19049835205078,108.3947427940169,107.56207512154361,107.86057885292415,145023500
2012-03-02,107.86061096191406,108.26123703353991,107.6170997343186,108.11983607114851,120638300
2012-03-05,107.42070007324219,107.77418444041584,107.05150182707612,107.69563901780931,140765000
2012-03-06,105.84967041015625,106.38382254828437,105.54331562830504,106.3209909912413,202129900
2012-03-07,106.58802795410156,106.76084463801581,105.99102050560654,106.09314272414929,143692200
2012-03-08,107.64848327636719,107.86844159490786,107.02007203314066,107.24001836550518,116968900
2012-03-09,108.06484985351562,108.34762779125597,107.71921639248305,107.85275441403125,122836800
2012-03-12,108.07272338867188,108.21411238709318,107.68781113822229,108.04915855560166,104003500
2012-03-13,110.02080535888672,110.07579795010354,108.47331767762303,108.65399734632447,184090500
2012-03-14,109.9029769897461,110.32715587722434,109.56519448026505,110.05222889024849,145163600
2012-03-15,110.53926086425781,110.58639052402957,109.78515034936967,110.06794029418023,165118500
2012-03-16,110.69229888916016,110.8343074610209,110.45560589735327,110.7396350797804,152893500
2012-03-19,111.12625885009766,111.46550965110504,110.54241761175643,110.62131930621358,125291100
2012-03-20,110.80274963378906,110.93687284814679,110.17157236015457,110.4950523682142,121729700
2012-03-21,110.62130737304688,110.96844349056967,110.39249970702856,110.86588574528871,122388400
2012-03-22,109.8244400024414,110.10058386134057,109.46152114419856,109.80865725769397,135216700
2012-03-23,110.17943572998047,110.3056735672625,109.31157768574772,109.91908674380258,120521000
2012-03-26,111.72583770751953,111.72583770751953,110.92898379981614,110.96842259665614,120164000
2012-03-27,111.37867736816406,111.89939944719897,111.3076730952148,111.82839517424969,119868500
2012-03-28,110.8264389038086,111.49706714243962,110.17159341067796,111.32349305805765,148562100
2012-03-29,110.63709259033203,110.84223218521397,109.73766863063575,110.1716038828376,164963700
2012-03-30,111.09464263916016,111.28399939618589,110.49503096663292,111.18142964795909,135486800
2012-04-02,111.90730285644531,112.1992294235174,110.73963270427318,110.96054294823263,151741100
2012-04-03,111.44975280761719,111.93892175726911,110.79490711529036,111.74956486978665,155806700
2012-04-04,110.34516143798828,110.72386303825785,109.93489434845061,110.62919064786716,146896000
2012-04-05,110.28988647460938,110.61336640536278,109.8717341889827,109.96641858255828,137439400
2012-04-09,109.05128479003906,110.32941058458887,108.75147274886406,108.90137876945157,127555900
2012-04-10,107.22083282470703,109.14591822287984,107.11037769720726,108.83822093636573,235360300
2012-04-11,108.08866882324219,108.51470645442163,107.8914267268494,108.31746435802884,154133000
2012-04-12,109.5009765625,109.5877636137187,108.11239578170948,108.19129747871146,154321500
2012-04-13,108.19915008544922,109.52462355392174,108.09658031813206,109.24847973670099,169246700
2012-04-16,108.12816619873047,108.90923753192259,107.7573499347819,108.75144619462066,147825300
